,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FILENAME,OBJECT,FILTER,IMAGETYP,DATE-OBS,EXP-TIME,JD
163,163.0,163.0,163.0,18.0,LDST_250430-0010_G.fit,LDST_250430,G*,LIGHT,2025-04-30T21:25:01.06,,2460796.39237338
164,164.0,164.0,164.0,368.0,LDST_250430-0010_B.fit,LDST_250430,B*,LIGHT,2025-04-30T21:26:05.42,,2460796.393118287
165,165.0,165.0,165.0,511.0,reduced_M82_B*_84.fits,M82,B*,REDUCED,2025-04-30T21:26:05.42,,2460796.393118287
166,166.0,166.0,166.0,357.0,registered_M82_B*_218.fits,M82,B*,REGISTERED,2025-04-30T21:26:05.42,,2460796.393118287
167,167.0,167.0,167.0,99.0,registered_M82_H_alpha_219.fits,M82,H_alpha,REGISTERED,2025-04-30T21:27:09.54,,2460796.3938604165
168,168.0,168.0,168.0,229.0,LDST_250430-0010_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T21:27:09.54,,2460796.3938604165
169,169.0,169.0,169.0,186.0,reduced_M82_H_alpha_85.fits,M82,H_alpha,REDUCED,2025-04-30T21:27:09.54,,2460796.3938604165
170,170.0,170.0,170.0,126.0,LDST_250430-0011_R.fit,LDST_250430,R*,LIGHT,2025-04-30T21:32:37.55,,2460796.3976568286
171,171.0,171.0,171.0,231.0,reduced_M82_R*_86.fits,M82,R*,REDUCED,2025-04-30T21:32:37.55,,2460796.3976568286
172,172.0,172.0,172.0,272.0,registered_M82_R*_220.fits,M82,R*,REGISTERED,2025-04-30T21:32:37.55,,2460796.3976568286
173,173.0,173.0,173.0,355.0,registered_M82_G*_221.fits,M82,G*,REGISTERED,2025-04-30T21:33:41.81,,2460796.398400578
174,174.0,174.0,174.0,449.0,reduced_M82_G*_87.fits,M82,G*,REDUCED,2025-04-30T21:33:41.81,,2460796.398400578
175,175.0,175.0,175.0,94.0,LDST_250430-0011_G.fit,LDST_250430,G*,LIGHT,2025-04-30T21:33:41.81,,2460796.398400578
176,176.0,176.0,176.0,414.0,reduced_M82_B*_88.fits,M82,B*,REDUCED,2025-04-30T21:34:45.99,,2460796.399143403
177,177.0,177.0,177.0,77.0,registered_M82_B*_222.fits,M82,B*,REGISTERED,2025-04-30T21:34:45.99,,2460796.399143403
178,178.0,178.0,178.0,305.0,LDST_250430-0011_B.fit,LDST_250430,B*,LIGHT,2025-04-30T21:34:45.99,,2460796.399143403
179,179.0,179.0,179.0,335.0,registered_M82_H_alpha_223.fits,M82,H_alpha,REGISTERED,2025-04-30T21:35:50.16,,2460796.399886112
180,180.0,180.0,180.0,228.0,reduced_M82_H_alpha_89.fits,M82,H_alpha,REDUCED,2025-04-30T21:35:50.16,,2460796.399886112
181,181.0,181.0,181.0,291.0,LDST_250430-0011_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T21:35:50.16,,2460796.399886112
182,182.0,182.0,182.0,210.0,LDST_250430-0001_RSTAR.fit,LDST_250430,R*,LIGHT,2025-04-30T21:55:39.16,,2460796.413647685
